epoch,loss,val_loss
0,3.9617671966552734,3.2490038871765137
1,3.0876195430755615,2.945409059524536
2,2.8047330379486084,2.74959135055542
3,2.64058518409729,2.6160526275634766
4,2.5066676139831543,2.9065587520599365
5,2.436812400817871,2.585226535797119
6,2.37550687789917,2.510622024536133
7,2.3300724029541016,2.3873496055603027
8,2.297276496887207,2.4648079872131348
9,2.2743711471557617,2.526069402694702
10,2.2436776161193848,2.4311363697052
11,2.219994306564331,2.5950310230255127
12,2.1933672428131104,2.5021719932556152
13,2.1942808628082275,2.539767265319824
14,2.1775410175323486,2.527700185775757
15,2.1613857746124268,2.3341901302337646
16,2.1675233840942383,2.4495067596435547
17,2.1455631256103516,2.525423049926758
18,2.1393539905548096,2.305626630783081
19,2.121720552444458,2.3837201595306396
0,3.910065174102783,3.228809356689453
1,3.0754878520965576,2.958338499069214
2,2.8087844848632812,2.8169374465942383
3,2.6129724979400635,3.2531116008758545
4,2.4870963096618652,2.540588855743408
5,2.4123010635375977,2.534022331237793
6,2.3606133460998535,2.659515142440796
7,2.325324773788452,2.3900105953216553
8,2.28646183013916,2.482178211212158
9,2.2658162117004395,2.535853385925293
10,2.2387442588806152,2.413822889328003
11,2.21897554397583,2.326636791229248
12,2.215266704559326,2.681560754776001
13,2.187875270843506,2.3933780193328857
14,2.1742770671844482,2.390533685684204
15,2.1536664962768555,2.3780710697174072
16,2.15401029586792,2.523794412612915
17,2.148061990737915,2.5266661643981934
18,2.13667893409729,2.4672648906707764
19,2.132429838180542,2.4132919311523438
0,3.9267032146453857,3.2261502742767334
1,3.0864949226379395,2.971726655960083
2,2.805389642715454,2.7556118965148926
3,2.627467393875122,2.6591482162475586
4,2.4895715713500977,2.602510929107666
5,2.437331438064575,2.521820545196533
6,2.36116361618042,2.4686076641082764
7,2.3307137489318848,2.5090904235839844
8,2.293271780014038,2.3722400665283203
9,2.2571372985839844,2.509728193283081
10,2.243896245956421,2.426865577697754
11,2.220527172088623,2.55419921875
12,2.2093350887298584,2.340189218521118
13,2.191555976867676,2.5339407920837402
14,2.1668050289154053,2.568336009979248
15,2.1571383476257324,2.383539915084839
16,2.1488547325134277,2.3934433460235596
17,2.140672445297241,2.3829445838928223
18,2.1272177696228027,2.3800435066223145
19,2.136281967163086,2.3295552730560303
20,2.1204168796539307,2.3339805603027344
21,2.113795757293701,2.4125092029571533
22,2.103905200958252,2.423219919204712
23,2.109133720397949,2.2927889823913574
24,2.097182273864746,2.312513589859009
25,2.095890998840332,2.500997543334961
26,2.093413829803467,2.4139223098754883
27,2.0701839923858643,2.4220404624938965
28,2.089684009552002,2.3480594158172607
29,2.075012683868408,2.682573080062866
30,2.080202579498291,2.2859585285186768
31,2.070232629776001,2.6034066677093506
32,2.060105323791504,2.4459311962127686
33,2.0753533840179443,2.266376495361328
34,2.0578606128692627,2.375760078430176
35,2.06130313873291,2.3994176387786865
36,2.0565640926361084,2.3281378746032715
37,2.0504255294799805,2.227693796157837
38,2.0374155044555664,2.424382448196411
39,2.0545494556427,2.4323031902313232
40,2.0645675659179688,2.3426997661590576
41,2.0461323261260986,2.4723188877105713
42,2.058529853820801,2.355987548828125
43,2.0477468967437744,2.3283984661102295
44,2.0510880947113037,2.255272626876831
45,2.049085855484009,2.5219998359680176
46,1.9203722476959229,2.1116139888763428
47,1.8778228759765625,2.1050193309783936
48,1.873314619064331,2.120924949645996
49,1.8536072969436646,2.130708932876587
50,1.8406707048416138,2.2680654525756836
51,1.8384979963302612,2.068634510040283
52,1.8319252729415894,2.068755865097046
53,1.8260620832443237,2.0537915229797363
54,1.8198635578155518,2.112619161605835
55,1.815697193145752,2.0524585247039795
56,1.825132131576538,2.0929477214813232
57,1.814780354499817,2.080014944076538
58,1.815717339515686,2.064791440963745
59,1.804840326309204,2.048583984375
60,1.8066412210464478,2.0415897369384766
61,1.7964853048324585,2.1573472023010254
62,1.7960480451583862,2.0477495193481445
63,1.8023157119750977,2.077077627182007
64,1.7991595268249512,2.076934337615967
65,1.7985132932662964,2.0529143810272217
66,1.785383701324463,2.100973606109619
67,1.7927361726760864,2.025369644165039
68,1.7846949100494385,2.1067099571228027
69,1.7918486595153809,2.052844524383545
70,1.7888582944869995,2.082303047180176
71,1.7747931480407715,2.049093246459961
72,1.7742489576339722,2.0328612327575684
73,1.7787277698516846,2.0726706981658936
74,1.7730473279953003,2.083704710006714
75,1.7708008289337158,2.0787861347198486
76,1.740721344947815,1.9964587688446045
77,1.7121955156326294,1.988202691078186
78,1.7163681983947754,2.0033485889434814
79,1.7237191200256348,1.988424301147461
80,1.7191075086593628,1.9910186529159546
81,1.729191541671753,1.978108286857605
82,1.7071694135665894,2.018017053604126
83,1.729116439819336,1.9959590435028076
84,1.71756112575531,1.969326376914978
85,1.7104190587997437,2.0026004314422607
86,1.7101316452026367,1.9835872650146484
87,1.7097856998443604,1.9998300075531006
88,1.7079188823699951,2.022106170654297
89,1.7065215110778809,2.0199592113494873
90,1.7069263458251953,1.9815261363983154
91,1.7044485807418823,1.9945836067199707
92,1.705066204071045,1.9684029817581177
93,1.6876176595687866,1.9768857955932617
94,1.7044018507003784,1.9709327220916748
95,1.6989961862564087,1.971077799797058
96,1.6934036016464233,1.9811203479766846
97,1.686803936958313,1.964043140411377
98,1.6967164278030396,1.9781646728515625
99,1.6959459781646729,1.965654969215393
